#    L    TT             EE             BB             TE          
   351   0.252025E+04   0.179057E+02   0.375558E-01   0.906031E+02
   352   0.249478E+04   0.180549E+02   0.376774E-01   0.891876E+02
   353   0.246975E+04   0.182012E+02   0.378008E-01   0.877560E+02
   354   0.244501E+04   0.183454E+02   0.379219E-01   0.862868E+02
   355   0.242071E+04   0.184875E+02   0.380449E-01   0.847943E+02
   356   0.239678E+04   0.186274E+02   0.381657E-01   0.832858E+02
   357   0.237322E+04   0.187645E+02   0.382884E-01   0.817468E+02
   358   0.235009E+04   0.188979E+02   0.384089E-01   0.801919E+02
   359   0.232726E+04   0.190292E+02   0.385315E-01   0.786066E+02
   360   0.230488E+04   0.191583E+02   0.386518E-01   0.770018E+02
   361   0.228286E+04   0.192846E+02   0.387741E-01   0.753731E+02
   362   0.226128E+04   0.194080E+02   0.388944E-01   0.737234E+02
   363   0.224007E+04   0.195292E+02   0.390167E-01   0.720550E+02
   364   0.221930E+04   0.196460E+02   0.391369E-01   0.703641E+02
   365   0.219891E+04   0.197607E+02   0.392592E-01   0.686567E+02
   366   0.217895E+04   0.198725E+02   0.393795E-01   0.669298E+02
   367   0.215944E+04   0.199800E+02   0.395019E-01   0.651856E+02
   368   0.214023E+04   0.200853E+02   0.396223E-01   0.634256E+02
   369   0.212161E+04   0.201877E+02   0.397450E-01   0.616476E+02
   370   0.210336E+04   0.202865E+02   0.398656E-01   0.598567E+02
   371   0.208548E+04   0.203816E+02   0.399886E-01   0.580493E+02
   372   0.206804E+04   0.204738E+02   0.401095E-01   0.562298E+02
   373   0.205105E+04   0.205624E+02   0.402328E-01   0.543952E+02
   374   0.203451E+04   0.206481E+02   0.403541E-01   0.525491E+02
   375   0.201834E+04   0.207302E+02   0.404779E-01   0.506917E+02
   376   0.200269E+04   0.208093E+02   0.405997E-01   0.488229E+02
   377   0.198748E+04   0.208841E+02   0.407240E-01   0.469456E+02
   378   0.197265E+04   0.209552E+02   0.408464E-01   0.450570E+02
   379   0.195827E+04   0.210234E+02   0.409713E-01   0.431613E+02
   380   0.194440E+04   0.210887E+02   0.410943E-01   0.412565E+02
   381   0.193091E+04   0.211475E+02   0.412200E-01   0.393453E+02
   382   0.191780E+04   0.212047E+02   0.413437E-01   0.374287E+02
   383   0.190520E+04   0.212576E+02   0.414702E-01   0.355050E+02
   384   0.189313E+04   0.213062E+02   0.415947E-01   0.335781E+02
   385   0.188136E+04   0.213525E+02   0.417221E-01   0.316463E+02
   386   0.187011E+04   0.213944E+02   0.418474E-01   0.297119E+02
   387   0.185924E+04   0.214320E+02   0.419758E-01   0.277749E+02
   388   0.184882E+04   0.214659E+02   0.421021E-01   0.258368E+02
   389   0.183885E+04   0.214940E+02   0.422315E-01   0.238976E+02
   390   0.182933E+04   0.215213E+02   0.423589E-01   0.219593E+02
   391   0.182026E+04   0.215435E+02   0.424893E-01   0.200207E+02
   392   0.181157E+04   0.215635E+02   0.426179E-01   0.180846E+02
   393   0.180340E+04   0.215784E+02   0.427495E-01   0.161503E+02
   394   0.179561E+04   0.215896E+02   0.428792E-01   0.142199E+02
