# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF 1087.24  INDEF  778.56  INDEF    -506.    INDEF      INDEF
  341    1.09 1083.00   0.92  769.04   0.98      -1.   0.0397     0.0397
  342    1.09 1083.00   0.92  769.04   0.99   -0.915   0.0517     0.0565
  343    1.05 1082.87   0.89  769.11   0.95   -0.823   0.0636     0.0772
  344    1.04 1082.87   0.89  769.11   0.94   -0.871   0.0538     0.0617
  345    1.03 1081.99   0.81  770.91   0.86   -0.882   0.0528     0.0599
  346    1.15 1082.89   0.91  770.41   0.96   -0.779   0.0806      0.103
  347    1.04 1082.89   0.90  770.41   0.95   -0.769    0.101      0.132
  348    0.92 1082.89   0.77  770.41   0.81   -0.887   0.0565     0.0637
  349    0.90 1082.89   0.75  770.41   0.79   -0.876   0.0436     0.0498
  350    0.86 1082.89   0.72  770.41   0.76   -0.867   0.0373      0.043
  351    0.82 1083.71   0.69  770.99   0.73   -0.894   0.0353     0.0395
