# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
  235   -20.6 154343 171973   0.00288 0.00154  -0.00182 0.00155   0.00226
  236   -20.6 154525 173485   0.00212 0.00154  -0.00344 0.00155   0.00181
  237   -20.6 156777 174921   0.00173 0.00158  -0.00223 0.00158   6.07E-5
  238   -20.6 158097 176401   0.00139 0.00147  -0.00211 0.00148   0.00177
  239   -20.6 159433 177929  -0.00235 0.00162  -0.00348 0.00162   0.00212
  240   -20.6 160423 179373  -3.91E-4 0.00166  -0.00491 0.00167  -9.92E-5
  241   -20.6 161705 180917   0.00154 0.00166  -0.00331 0.00167  -0.00119
  242   -20.6 163045 182381   0.00257  0.0017  -0.00346 0.00171  -0.00272
  243   -20.6 164417 183941   0.00352  0.0017  -8.28E-4 0.00171   4.14E-5
  244   -20.7 165323 185489   0.00339 0.00165  -4.55E-4 0.00165   0.00262
  245   -20.7 167777 187009   0.00404 0.00149  -0.00238  0.0015  -0.00176
  246   -20.7 169175 188561   0.00276 0.00154  -0.00209 0.00154  -0.00281
  247   -20.7 169947 190053   0.00175 0.00146  -5.17E-4 0.00147  -7.30E-4
  248   -20.7 171317 191669   0.00154 0.00153  -0.00159 0.00154  -0.00198
  249   -20.7 172701 193205   8.96E-4 0.00162  -0.00308 0.00163  -0.00163
  250   -20.7 174093 194733   0.00292 0.00163  -4.91E-4 0.00164  -0.00309
  251   -20.7 174793 196321   0.00495 0.00162  -0.00235 0.00162  -0.00404
  252   -20.7 177805 197849   0.00344 0.00159   0.00197  0.0016  -1.77E-4
  253   -20.7 178511 199449   9.85E-4  0.0015    0.0014  0.0015   1.24E-4
  254   -20.7 181145 201029    0.0029 0.00174    0.0044 0.00175  -9.28E-4
  255   -20.7 183721 202621   0.00162 0.00193   0.00929 0.00195  -0.00466
  256   -20.7 184375 204269   3.84E-4 0.00188   0.00653  0.0019  -0.00232
  257   -20.7 185819 205861   0.00401 0.00193   0.00466 0.00194  -0.00502
  258   -20.7 186065 207465   0.00202 0.00183   0.00434 0.00184   -0.0035
  259   -20.7 187533 209049    0.0043 0.00174   0.00429 0.00175  -0.00464
  260   -20.7 188989 210713   0.00431 0.00171   0.00447 0.00172  -0.00586
  261   -20.7 190121 212357   0.00446 0.00164   0.00374 0.00164  -0.00842
  262   -20.7 191579 213973   0.00548 0.00162   0.00176 0.00162  -0.00869
  263   -20.7 193047 215605   0.00615  0.0017   0.00315 0.00171  -0.00385
  264   -20.7 194533 217249   0.00703 0.00167   0.00225 0.00167  -0.00125
  265   -20.7 195593 218905   0.00728 0.00179   0.00302 0.00178  -0.00237
  266   -20.7 197087 220577   0.00771 0.00183   0.00459 0.00183  -0.00448
  267   -20.7 197241 222249   0.00861 0.00189   0.00126 0.00188  -0.00346
  268   -20.7 199719 223925   0.00494 0.00177   6.82E-4 0.00177  -0.00348
  269   -20.7 199835 225581   0.00503 0.00186   2.54E-4 0.00187  -0.00727
  270   -20.7 202763 227301   0.00245 0.00179  -0.00388  0.0018  -0.00741
  271   -20.7 203535 228977    0.0036 0.00179  -0.00449  0.0018   -0.0067
  272   -20.7 205059 230657   0.00444 0.00162  -0.00265 0.00162  -0.00714
  273   -20.7 206591 232393   0.00357 0.00172  -0.00203 0.00172  -0.00476
  274   -20.7 206933 234121   0.00408 0.00164  -0.00265 0.00165   -0.0047
  275   -20.7 208467 235829    0.0035 0.00175  -8.13E-4 0.00175  -0.00711
  276   -20.7 211523 237525   0.00297 0.00175   -0.0041 0.00176  -0.00739
  277   -20.7 211083 239277   0.00128 0.00167  -0.00122 0.00168  -0.00664
  278   -20.7 213743 241009   0.00415 0.00171  -0.00218 0.00171  -0.00644
  279   -20.8 215309 242761   4.03E-4 0.00179   -0.0033  0.0018  -0.00312
  280   -20.8 216331 244497   0.00573 0.00173   2.62E-4 0.00173  -0.00632
  281   -20.8 217867 246253   7.11E-4 0.00168  -6.67E-6 0.00168  -0.00376
  282   -20.8 219377 248037   0.00159 0.00169  -0.00356  0.0017  -0.00313
  283   -20.8 220969 249773   0.00662 0.00183  -0.00434 0.00183  -0.00221
  284   -20.8 222523 251549   0.00273 0.00168  -0.00328 0.00169  -8.25E-5
  285   -20.8 224065 253321   0.00416 0.00178   0.00201 0.00178   0.00277
  286   -20.8 225691 255145   0.00514  0.0017  -0.00101  0.0017   0.00157
  287   -20.8 227293 256945   0.00844 0.00178  -3.60E-4 0.00177   8.37E-4
  288   -20.8 228883 258709   0.00297 0.00177  -5.81E-4 0.00177  -0.00158
  289   -20.8 230491 260517  -0.00129 0.00187  -0.00466 0.00189  -0.00234
  290   -20.8 232065 262341   4.78E-4 0.00182  -0.00131 0.00183  -0.00273
  291   -20.8 232703 264189   5.85E-4 0.00183  -0.00106 0.00184   7.76E-4
  292   -20.8 234319 266025  -0.00141 0.00169  -0.00185 0.00169  -0.00113
  293   -20.8 235931 267777  -8.65E-4 0.00174  -0.00237 0.00175  -0.00145
  294   -20.8 237547 269681   -0.0046 0.00177  -0.00269 0.00177   6.82E-4
  295   -20.8 239177 271509  -0.00506 0.00169    0.0024  0.0017  -0.00296
  296   -20.8 242649 273365  -0.00137 0.00172  -0.00356 0.00173   3.94E-4
  297   -20.8 241851 275205   3.11E-4 0.00169  -0.00311  0.0017   -0.0034
  298   -20.8 243461 277085   8.23E-4 0.00174  -0.00506 0.00175  -0.00318
  299   -20.8 245127 278985   1.38E-4 0.00163  -0.00392 0.00164  -0.00238
  300   -20.8 246785 280817   0.00171 0.00179  -0.00456  0.0018   1.35E-5
  301   -20.8 248433 282697   0.00453  0.0017  -0.00296 0.00171  -3.68E-4
  302   -20.8 251731 284565   0.00579 0.00169  -8.28E-4 0.00169   0.00466
  303   -20.8 252625 286453    0.0063 0.00185  -0.00248 0.00184   0.00442
  304   -20.8 253769 288413   0.00407 0.00167  -0.00593 0.00168   0.00337
  305   -20.8 252651 290273   0.00432  0.0017  -0.00211 0.00171   0.00287
  306   -20.8 254307 292201    0.0037 0.00176  -0.00378 0.00177   0.00214
  307   -20.8 255997 294137   0.00211 0.00182   -0.0117 0.00185    0.0035
  308   -20.8 255829 296025   0.00614 0.00241   -0.0134 0.00244  -7.98E-4
  309   -20.8 257473 297965   0.00562 0.00224   -0.0149 0.00229   0.00138
  310   -20.8 259817 299861  -0.00115 0.00232   -0.0193 0.00239   0.00283
