*******************************************************
GTC-OSIRIS-R500R spectra of A, B and G on 27 March 2014
*******************************************************
UNITS:				lambda in angstrom (A)
			flux in 10^{-17} ergs/cm^2/s/A
******************************************************* 
   	         flux
         -------------------
lambda     A     B      G
******************************
7205.307 3.496 4.537 2.166
7210.123 3.482 4.567 2.133
7214.940 3.584 4.668 1.880
7219.756 3.559 4.564 2.121
7224.573 3.534 4.550 2.124
7229.390 3.438 4.524 2.062
7234.206 3.416 4.552 2.006
7239.023 3.431 4.531 2.133
7243.839 3.465 4.514 2.018
7248.656 3.446 4.458 2.217
7253.472 3.542 4.564 2.029
7258.289 3.499 4.587 1.728
7263.105 3.590 4.594 1.915
7267.922 3.545 4.428 2.049
7272.739 3.450 4.434 2.086
7277.555 3.588 4.574 2.014
7282.372 3.580 4.600 1.948
7287.188 3.638 4.532 2.043
7292.005 3.639 4.588 2.061
7296.821 3.664 4.648 1.988
7301.638 3.620 4.532 2.205
7306.455 3.678 4.522 1.881
7311.271 3.786 4.543 1.994
7316.088 3.766 4.543 2.195
7320.904 3.752 4.502 2.132
7325.721 3.755 4.638 2.128
7330.537 3.812 4.538 2.157
7335.354 3.910 4.688 2.082
7340.170 3.823 4.621 2.371
7344.987 3.876 4.758 2.217
7349.804 3.896 4.597 2.364
7354.620 3.988 4.797 2.035
7359.437 3.952 4.630 2.167
7364.253 3.918 4.663 2.309
7369.070 3.977 4.649 2.232
7373.886 3.984 4.729 2.229
7378.703 3.988 4.728 2.163
7383.519 4.078 4.767 2.020
7388.336 4.064 4.731 2.113
7393.153 4.094 4.685 2.252
7397.969 4.047 4.668 2.352
7402.786 4.008 4.760 2.271
7407.602 4.113 4.754 2.318
7412.419 4.125 4.749 2.244
7417.235 4.143 4.762 2.190
7422.052 4.151 4.728 2.486
7426.869 4.167 4.729 2.410
7431.685 4.158 4.651 2.425
7436.502 4.225 4.757 2.287
7441.318 4.217 4.793 2.238
7446.135 4.191 4.731 2.361
7450.951 4.222 4.717 2.290
7455.768 4.226 4.751 2.167
7460.584 4.213 4.704 2.225
7465.401 4.278 4.734 2.135
7470.218 4.243 4.737 2.134
7475.034 4.271 4.705 2.317
7479.851 4.272 4.614 2.314
7484.667 4.255 4.790 2.335
7489.484 4.283 4.744 2.304
7494.300 4.258 4.741 2.090
7499.117 4.341 4.787 2.041
7503.933 4.385 4.803 2.055
7508.750 4.328 4.834 2.138
7513.567 4.246 4.700 2.397
7518.383 4.388 4.782 2.090
7523.200 4.361 4.704 2.258
7528.016 4.353 4.715 2.161
7532.833 4.305 4.782 2.234
7537.649 4.308 4.725 2.208
7542.466 4.339 4.755 2.123
7547.283 4.335 4.672 2.255
7552.099 4.374 4.718 2.157
7556.916 4.291 4.723 2.073
7561.732 4.214 4.663 2.227
7566.549 4.214 4.699 2.181
7571.365 4.138 4.603 2.232
7576.182 4.225 4.794 2.160
7580.998 4.340 4.909 2.153
7585.815 4.205 4.702 2.248
7590.632 3.820 4.303 2.248
7595.448 3.399 3.731 1.557
7600.265 2.722 3.002 1.630
7605.081 2.759 3.034 1.779
7609.898 3.725 4.064 2.171
7614.714 4.478 4.911 2.465
7619.531 4.689 5.247 2.319
7624.347 4.238 4.731 2.543
7629.164 3.972 4.399 2.176
7633.981 3.881 4.278 2.100
7638.797 3.932 4.330 2.316
7643.614 4.148 4.578 2.499
7648.430 4.258 4.719 2.231
7653.247 4.310 4.766 2.196
7658.063 4.427 4.879 2.067
7662.880 4.248 4.769 2.072
7667.697 4.212 4.747 2.230
7672.513 4.175 4.651 2.332
7677.330 4.177 4.540 2.260
7682.146 4.145 4.500 2.188
7686.963 4.066 4.408 2.278
7691.779 4.066 4.375 2.306
7696.596 4.125 4.477 2.182
7701.412 4.175 4.365 2.244
7706.229 4.038 4.326 2.399
7711.046 4.095 4.352 2.286
7715.862 4.086 4.479 2.132
7720.679 4.122 4.495 2.150
7725.495 4.103 4.347 2.404
7730.312 4.094 4.445 2.266
7735.128 4.151 4.461 2.285
7739.945 4.081 4.418 2.431
7744.761 4.177 4.396 2.494
7749.578 4.163 4.413 2.377
7754.395 4.132 4.468 2.147
7759.211 4.147 4.368 2.339
7764.028 4.087 4.365 2.274
7768.844 4.144 4.336 2.466
7773.661 4.215 4.465 2.082
7778.477 4.173 4.443 2.253
7783.294 4.249 4.403 2.199
7788.111 4.279 4.478 2.082
7792.927 4.216 4.416 2.223
7797.744 4.267 4.525 2.221
7802.560 4.168 4.404 2.173
7807.377 4.233 4.413 2.115
7812.193 4.252 4.387 1.972
7817.010 4.256 4.568 1.775
7821.826 4.334 4.398 2.181
7826.643 4.185 4.279 2.210
7831.460 4.419 4.461 2.049
7836.276 4.271 4.422 2.217
7841.093 4.364 4.444 2.225
7845.909 4.349 4.388 2.192
7850.726 4.420 4.378 1.936
7855.542 4.347 4.394 2.008
7860.359 4.174 4.297 2.158
7865.176 4.243 4.330 2.184
7869.992 4.242 4.318 2.423
7874.809 4.280 4.416 2.305
7879.625 4.261 4.314 2.370
7884.442 4.216 4.256 2.274
7889.258 4.281 4.256 2.350
7894.075 4.216 4.147 2.597
7898.891 4.210 4.309 2.068
7903.708 4.237 4.402 1.938
7908.525 4.226 4.345 2.254
7913.341 4.149 4.283 2.292
7918.158 4.132 4.313 2.181
7922.974 4.145 4.471 2.005
7927.791 4.208 4.266 2.203
7932.607 4.121 4.166 2.507
7937.424 4.253 4.320 2.160
7942.240 4.190 4.281 2.253
7947.057 4.160 4.217 2.381
7951.874 4.263 4.283 2.459
7956.690 4.327 4.235 2.271
7961.507 4.284 4.210 2.301
7966.323 4.336 4.224 2.143
7971.140 4.280 4.353 2.065
7975.956 4.302 4.338 2.232
7980.773 4.397 4.305 1.873
7985.590 4.328 4.155 2.359
7990.406 4.255 4.143 2.371
7995.223 4.266 4.286 2.018
8000.039 4.232 4.249 2.109
8004.856 4.235 4.134 2.345
8009.672 4.284 4.258 2.112
8014.489 4.336 4.233 2.002
8019.305 4.396 4.170 1.982
8024.122 4.372 4.210 1.925
8028.939 4.285 4.142 2.198
8033.755 4.325 4.277 1.912
8038.572 4.344 4.327 1.947
8043.388 4.258 4.177 2.155
8048.205 4.310 4.167 2.062
8053.021 4.290 4.157 2.186
8057.838 4.283 4.221 2.139
8062.654 4.236 4.143 2.058
8067.471 4.225 4.097 2.104
8072.288 4.234 4.111 2.213
8077.104 4.163 4.079 2.297
8081.921 4.281 4.215 1.961
8086.737 4.268 4.176 1.993
8091.554 4.269 4.112 2.198
8096.370 4.224 4.062 2.177
8101.187 4.209 4.110 2.122
8106.004 4.169 4.070 2.119
8110.820 4.218 4.036 2.043
8115.637 4.085 3.961 2.122
8120.453 4.050 3.985 2.089
8125.270 4.079 3.923 2.198
8130.086 3.984 3.920 2.159
8134.903 3.936 3.857 2.026
8139.719 3.965 3.821 2.092
8144.536 3.880 3.779 2.111
8149.353 3.809 3.782 1.989
8154.169 3.781 3.741 2.065
8158.986 3.820 3.762 1.871
8163.802 3.853 3.763 1.851
8168.619 3.821 3.697 2.131
8173.435 3.902 3.912 1.832
8178.252 3.896 3.910 1.820
8183.068 3.879 3.755 2.098
8187.885 3.850 3.782 1.962
8192.702 3.828 3.846 2.047
8197.518 3.874 3.858 1.968
8202.335 3.957 3.888 1.915
